url,rank,score,raw_score,grade,grade_reliable,coverage_note,total_findings,critical,high,medium,low,info,tests_run,modules_discovered,waf,page_is_representative,duration_seconds,findings_by_scout,ocsp_stapling
https://njp.gov.pk,83285,16,16.0,F,True,,34,0,4,5,16,9,10,10,,True,7.37,"{""test_03_cookies"": 3, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 14, ""test_06_info_disclosure"": 4, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 5, ""test_10_hallucinated_deps"": 1}",false
https://truewatch.com,83370,38,38.0,F,True,,28,0,2,4,12,10,10,10,Cloudflare,True,4.69,"{""test_02_frontend_libs"": 1, ""test_04_ssl_tls"": 5, ""test_05_security_headers"": 14, ""test_06_info_disclosure"": 3, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
https://bostik.com,83790,46,46.0,F,True,,41,0,2,5,16,18,10,10,Cloudflare,True,6.52,"{""test_03_cookies"": 1, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 14, ""test_06_info_disclosure"": 13, ""test_07_email_security"": 1, ""test_08_cors"": 1, ""test_09_sri"": 6, ""test_10_hallucinated_deps"": 1}",false
https://realbooks.in,84114,53,53.0,F,True,,31,0,1,5,15,10,10,10,,True,15.92,"{""test_02_frontend_libs"": 1, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 12, ""test_06_info_disclosure"": 4, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 5, ""test_10_hallucinated_deps"": 1}",false
https://lively.com,84386,91,91.0,A,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,6,0,0,1,2,3,2,10,Cloudflare,False,5.54,"{""test_04_ssl_tls"": 5, ""test_07_email_security"": 1}",false
https://geektyrant.com,84505,0,-9.0,F,True,,56,0,5,23,18,10,10,10,,True,7.86,"{""test_02_frontend_libs"": 3, ""test_03_cookies"": 2, ""test_04_ssl_tls"": 6, ""test_05_security_headers"": 14, ""test_06_info_disclosure"": 3, ""test_07_email_security"": 1, ""test_08_cors"": 1, ""test_09_sri"": 25, ""test_10_hallucinated_deps"": 1}",false
https://nhanow.com,84548,94,94.0,A,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,6,0,0,0,3,3,2,10,Cloudflare,False,5.29,"{""test_04_ssl_tls"": 4, ""test_07_email_security"": 2}",false
https://xhnews.today,84838,0,-25.0,F,True,,56,0,3,26,20,7,10,10,,True,7.34,"{""test_03_cookies"": 12, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 12, ""test_06_info_disclosure"": 3, ""test_07_email_security"": 3, ""test_08_cors"": 1, ""test_09_sri"": 20, ""test_10_hallucinated_deps"": 1}",false
https://datafortiq.net,85128,1,1.0,F,True,,31,0,5,4,11,11,10,10,Cloudflare,True,6.14,"{""test_02_frontend_libs"": 1, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 5, ""test_05_security_headers"": 14, ""test_06_info_disclosure"": 3, ""test_07_email_security"": 3, ""test_08_cors"": 1, ""test_09_sri"": 2, ""test_10_hallucinated_deps"": 1}",false
https://axiebet88.net,85635,11,11.0,F,True,,34,0,4,9,11,10,10,10,AWS CloudFront,True,10.91,"{""test_02_frontend_libs"": 2, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 15, ""test_06_info_disclosure"": 1, ""test_07_email_security"": 3, ""test_08_cors"": 1, ""test_09_sri"": 6, ""test_10_hallucinated_deps"": 1}",false
https://deepreader.live,85790,0,-14.0,F,True,,31,0,6,2,12,11,10,10,Cloudflare,True,12.55,"{""test_02_frontend_libs"": 1, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 5, ""test_05_security_headers"": 14, ""test_06_info_disclosure"": 4, ""test_07_email_security"": 3, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
https://pontodobicho.com,85819,0,-19.0,F,True,,45,0,5,6,19,15,10,10,Cloudflare,True,5.05,"{""test_01_secrets"": 1, ""test_02_frontend_libs"": 1, ""test_03_cookies"": 2, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 15, ""test_06_info_disclosure"": 11, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 7, ""test_10_hallucinated_deps"": 1}",false
https://domestico24.es,86160,96,96.0,A,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,5,0,0,0,2,3,2,10,,False,9.38,"{""test_04_ssl_tls"": 4, ""test_07_email_security"": 1}",false
https://goboult.co.in,86442,91,91.0,A,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,6,0,0,1,2,3,2,10,Cloudflare,False,4.04,"{""test_04_ssl_tls"": 4, ""test_07_email_security"": 2}",false
https://redcoolmedia.net,86534,23,23.0,F,True,,47,0,3,4,10,30,10,10,Cloudflare,True,5.64,"{""test_01_secrets"": 1, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 5, ""test_05_security_headers"": 13, ""test_06_info_disclosure"": 23, ""test_07_email_security"": 1, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
