rank,domain,url,status,result_file,error_type,error_message
24830,elephantjournal.com,https://elephantjournal.com,success,rank_24830_elephantjournal.com.json,,
25122,yummly.com,https://yummly.com,success,rank_25122_yummly.com.json,,
25170,adlooxtracking.ru,https://adlooxtracking.ru,success,rank_25170_adlooxtracking.ru.json,,
25573,aswatson.com,https://aswatson.com,success,rank_25573_aswatson.com.json,,
25663,mediadash.ru,https://mediadash.ru,success,rank_25663_mediadash.ru.json,,
25708,deps.dev,https://deps.dev,success,rank_25708_deps.dev.json,,
25733,yorkshirepost.co.uk,https://yorkshirepost.co.uk,success,rank_25733_yorkshirepost.co.uk.json,,
25795,conicet.gov.ar,https://conicet.gov.ar,success,rank_25795_conicet.gov.ar.json,,
26049,spinsfest.com,https://spinsfest.com,success,rank_26049_spinsfest.com.json,,
26198,collegehumor.com,https://collegehumor.com,success,rank_26198_collegehumor.com.json,,
26816,covatic.io,https://covatic.io,success,rank_26816_covatic.io.json,,
27343,spellknight.com,https://spellknight.com,success,rank_27343_spellknight.com.json,,
27625,lavasoft.com,https://lavasoft.com,success,rank_27625_lavasoft.com.json,,
27807,udc.es,https://udc.es,success,rank_27807_udc.es.json,,
27870,remirepo.net,https://remirepo.net,success,rank_27870_remirepo.net.json,,
27964,todamateria.com.br,https://todamateria.com.br,success,rank_27964_todamateria.com.br.json,,
28054,scorm.com,https://scorm.com,success,rank_28054_scorm.com.json,,
28126,cosmotown.com,https://cosmotown.com,success,rank_28126_cosmotown.com.json,,
28428,personio-internal.de,https://personio-internal.de,success,rank_28428_personio-internal.de.json,,
28509,newarab.com,https://newarab.com,success,rank_28509_newarab.com.json,,
28529,canlii.org,https://canlii.org,success,rank_28529_canlii.org.json,,
28570,xtrivdfw.com,https://xtrivdfw.com,success,rank_28570_xtrivdfw.com.json,,
28613,backloggd.com,https://backloggd.com,success,rank_28613_backloggd.com.json,,
28615,jxgjp.com,https://jxgjp.com,success,rank_28615_jxgjp.com.json,,
28782,vitals.app,https://vitals.app,success,rank_28782_vitals.app.json,,
28979,vidal.fr,https://vidal.fr,success,rank_28979_vidal.fr.json,,
29360,mangalivre.blog,https://mangalivre.blog,success,rank_29360_mangalivre.blog.json,,
29397,q-bid.ru,https://q-bid.ru,success,rank_29397_q-bid.ru.json,,
29402,ahcgyy120.com,https://ahcgyy120.com,success,rank_29402_ahcgyy120.com.json,,
29790,zrouteofficial.com,https://zrouteofficial.com,success,rank_29790_zrouteofficial.com.json,,
30281,trellis.net,https://trellis.net,success,rank_30281_trellis.net.json,,
30284,mercy.net,https://mercy.net,success,rank_30284_mercy.net.json,,
30352,rta.ae,https://rta.ae,success,rank_30352_rta.ae.json,,
30756,vsmobile.jp,https://vsmobile.jp,success,rank_30756_vsmobile.jp.json,,
31037,hankookilbo.com,https://hankookilbo.com,success,rank_31037_hankookilbo.com.json,,
31300,nothing-sus.com,https://nothing-sus.com,success,rank_31300_nothing-sus.com.json,,
31418,securenetsystems.net,https://securenetsystems.net,success,rank_31418_securenetsystems.net.json,,
31776,sonetel.net,https://sonetel.net,success,rank_31776_sonetel.net.json,,
31867,heraldodemexico.com.mx,https://heraldodemexico.com.mx,success,rank_31867_heraldodemexico.com.mx.json,,
32298,insurancebusinessmag.com,https://insurancebusinessmag.com,success,rank_32298_insurancebusinessmag.com.json,,
32685,asanausercontent.com,https://asanausercontent.com,success,rank_32685_asanausercontent.com.json,,
32726,hothardware.com,https://hothardware.com,success,rank_32726_hothardware.com.json,,
32904,ayush.gov.in,https://ayush.gov.in,success,rank_32904_ayush.gov.in.json,,
32962,sipgate.cloud,https://sipgate.cloud,success,rank_32962_sipgate.cloud.json,,
33084,mp3.com,https://mp3.com,success,rank_33084_mp3.com.json,,
33138,chain.link,https://chain.link,success,rank_33138_chain.link.json,,
33311,bupa.com.au,https://bupa.com.au,success,rank_33311_bupa.com.au.json,,
33581,lejia114.com,https://lejia114.com,success,rank_33581_lejia114.com.json,,
33619,ahgora.com.br,https://ahgora.com.br,success,rank_33619_ahgora.com.br.json,,
33665,vinted.lu,https://vinted.lu,success,rank_33665_vinted.lu.json,,
33679,astrology.com,https://astrology.com,success,rank_33679_astrology.com.json,,
34020,iili.io,https://iili.io,success,rank_34020_iili.io.json,,
34326,comcel.com.co,https://comcel.com.co,success,rank_34326_comcel.com.co.json,,
34865,timescolonist.com,https://timescolonist.com,success,rank_34865_timescolonist.com.json,,
35360,infralab.net,https://infralab.net,success,rank_35360_infralab.net.json,,
35458,apteka-april.ru,https://apteka-april.ru,success,rank_35458_apteka-april.ru.json,,
35528,naplesnews.com,https://naplesnews.com,success,rank_35528_naplesnews.com.json,,
35595,audiofanzine.com,https://audiofanzine.com,success,rank_35595_audiofanzine.com.json,,
35702,mintlify.com,https://mintlify.com,success,rank_35702_mintlify.com.json,,
35857,eascdn.net,https://eascdn.net,success,rank_35857_eascdn.net.json,,
35911,westseattleblog.com,https://westseattleblog.com,success,rank_35911_westseattleblog.com.json,,
36046,elcomercio.es,https://elcomercio.es,success,rank_36046_elcomercio.es.json,,
36320,thefader.com,https://thefader.com,success,rank_36320_thefader.com.json,,
37003,securitybank.com,https://securitybank.com,success,rank_37003_securitybank.com.json,,
37043,yourchain.info,https://yourchain.info,success,rank_37043_yourchain.info.json,,
37068,monsanto.com,https://monsanto.com,success,rank_37068_monsanto.com.json,,
37076,limbuscompanyapi.com,https://limbuscompanyapi.com,success,rank_37076_limbuscompanyapi.com.json,,
37439,mha.gov.in,https://mha.gov.in,success,rank_37439_mha.gov.in.json,,
37767,4plebs.org,https://4plebs.org,success,rank_37767_4plebs.org.json,,
37932,vzconnect.com,https://vzconnect.com,success,rank_37932_vzconnect.com.json,,
38585,adalyser.com,https://adalyser.com,success,rank_38585_adalyser.com.json,,
38611,cludo.com,https://cludo.com,success,rank_38611_cludo.com.json,,
38903,ekir.de,https://ekir.de,success,rank_38903_ekir.de.json,,
39394,musicradio.com,https://musicradio.com,success,rank_39394_musicradio.com.json,,
39695,giacom.net,https://giacom.net,success,rank_39695_giacom.net.json,,
39728,x10.mx,https://x10.mx,success,rank_39728_x10.mx.json,,
39812,free-blogz.com,https://free-blogz.com,success,rank_39812_free-blogz.com.json,,
39862,mangahere.cc,https://mangahere.cc,success,rank_39862_mangahere.cc.json,,
40338,armscontrol.org,https://armscontrol.org,success,rank_40338_armscontrol.org.json,,
40360,bristol.ru,https://bristol.ru,success,rank_40360_bristol.ru.json,,
40468,flingster.com,https://flingster.com,success,rank_40468_flingster.com.json,,
40915,sayweee.com,https://sayweee.com,success,rank_40915_sayweee.com.json,,
41314,cdns.su,https://cdns.su,success,rank_41314_cdns.su.json,,
41576,edgedns.co,https://edgedns.co,success,rank_41576_edgedns.co.json,,
42275,rittal.com,https://rittal.com,success,rank_42275_rittal.com.json,,
42289,grooveshark.com,https://grooveshark.com,success,rank_42289_grooveshark.com.json,,
42345,consumercellular.com,https://consumercellular.com,success,rank_42345_consumercellular.com.json,,
42476,litebox.ru,https://litebox.ru,success,rank_42476_litebox.ru.json,,
42488,activosblog.com,https://activosblog.com,success,rank_42488_activosblog.com.json,,
42603,webfaction.com,https://webfaction.com,success,rank_42603_webfaction.com.json,,
42681,jizzberry.com,https://jizzberry.com,success,rank_42681_jizzberry.com.json,,
42683,veronap.republican,https://veronap.republican,success,rank_42683_veronap.republican.json,,
43027,archeofuturae.com,https://archeofuturae.com,success,rank_43027_archeofuturae.com.json,,
43355,zuihuo.net,https://zuihuo.net,success,rank_43355_zuihuo.net.json,,
43371,ns-tech-ns.com,https://ns-tech-ns.com,success,rank_43371_ns-tech-ns.com.json,,
43468,systemrequirementslab.com,https://systemrequirementslab.com,success,rank_43468_systemrequirementslab.com.json,,
43770,pudding.cool,https://pudding.cool,success,rank_43770_pudding.cool.json,,
44226,moonlight-stream.org,https://moonlight-stream.org,success,rank_44226_moonlight-stream.org.json,,
44465,webdomaine.ca,https://webdomaine.ca,success,rank_44465_webdomaine.ca.json,,
44541,dealercenter.net,https://dealercenter.net,success,rank_44541_dealercenter.net.json,,
44659,phdns22.es,https://phdns22.es,success,rank_44659_phdns22.es.json,,
44853,platon.sk,https://platon.sk,success,rank_44853_platon.sk.json,,
44998,vidaxl.de,https://vidaxl.de,success,rank_44998_vidaxl.de.json,,
45222,genieedmp.com,https://genieedmp.com,success,rank_45222_genieedmp.com.json,,
45677,federation.edu.au,https://federation.edu.au,success,rank_45677_federation.edu.au.json,,
45773,ghbtns.com,https://ghbtns.com,success,rank_45773_ghbtns.com.json,,
45856,umatex.com,https://umatex.com,success,rank_45856_umatex.com.json,,
46046,icourse163.org,https://icourse163.org,success,rank_46046_icourse163.org.json,,
46382,leadpages.net,https://leadpages.net,success,rank_46382_leadpages.net.json,,
47084,oneweb.pro,https://oneweb.pro,success,rank_47084_oneweb.pro.json,,
47348,mgsreops.com,https://mgsreops.com,success,rank_47348_mgsreops.com.json,,
47579,theclinic.cl,https://theclinic.cl,success,rank_47579_theclinic.cl.json,,
47596,appboy.eu,https://appboy.eu,success,rank_47596_appboy.eu.json,,
48068,swiftinternet.co.uk,https://swiftinternet.co.uk,success,rank_48068_swiftinternet.co.uk.json,,
48186,themepalace.com,https://themepalace.com,success,rank_48186_themepalace.com.json,,
48257,xo.gr,https://xo.gr,success,rank_48257_xo.gr.json,,
48524,bizmoto-pay.com,https://bizmoto-pay.com,success,rank_48524_bizmoto-pay.com.json,,
49025,una.ac.cr,https://una.ac.cr,success,rank_49025_una.ac.cr.json,,
49286,redmagic.gg,https://redmagic.gg,success,rank_49286_redmagic.gg.json,,
49372,elasticnet.co,https://elasticnet.co,success,rank_49372_elasticnet.co.json,,
49407,rargb.to,https://rargb.to,success,rank_49407_rargb.to.json,,
49450,bmw.it,https://bmw.it,success,rank_49450_bmw.it.json,,
49620,zaxbys.com,https://zaxbys.com,success,rank_49620_zaxbys.com.json,,
49732,dnsunlimited.com,https://dnsunlimited.com,success,rank_49732_dnsunlimited.com.json,,
49827,looksmax.org,https://looksmax.org,success,rank_49827_looksmax.org.json,,
49853,lawgazette.co.uk,https://lawgazette.co.uk,success,rank_49853_lawgazette.co.uk.json,,
50522,blum.com,https://blum.com,success,rank_50522_blum.com.json,,
50693,theopen.com,https://theopen.com,success,rank_50693_theopen.com.json,,
50751,373soft.ru,https://373soft.ru,success,rank_50751_373soft.ru.json,,
50854,prommashkomplekt.kz,https://prommashkomplekt.kz,success,rank_50854_prommashkomplekt.kz.json,,
50893,dwz.cn,https://dwz.cn,success,rank_50893_dwz.cn.json,,
50922,liverpool.com,https://liverpool.com,success,rank_50922_liverpool.com.json,,
51337,light.com.br,https://light.com.br,success,rank_51337_light.com.br.json,,
51802,wifeo.com,https://wifeo.com,success,rank_51802_wifeo.com.json,,
51901,cnb.cz,https://cnb.cz,success,rank_51901_cnb.cz.json,,
51960,aebc.com,https://aebc.com,success,rank_51960_aebc.com.json,,
52744,electricimp.com,https://electricimp.com,success,rank_52744_electricimp.com.json,,
52811,allianz.at,https://allianz.at,success,rank_52811_allianz.at.json,,
53188,earth.li,https://earth.li,success,rank_53188_earth.li.json,,
53200,im-gb.com,https://im-gb.com,success,rank_53200_im-gb.com.json,,
53212,sixthtone.com,https://sixthtone.com,success,rank_53212_sixthtone.com.json,,
53252,bilendi.com,https://bilendi.com,success,rank_53252_bilendi.com.json,,
53271,bdc-services.net,https://bdc-services.net,success,rank_53271_bdc-services.net.json,,
53304,ottvs.com.br,https://ottvs.com.br,success,rank_53304_ottvs.com.br.json,,
53781,hubdrive.tips,https://hubdrive.tips,success,rank_53781_hubdrive.tips.json,,
53889,home.net,https://home.net,success,rank_53889_home.net.json,,
54039,gome.com.cn,https://gome.com.cn,success,rank_54039_gome.com.cn.json,,
54147,harbor.systems,https://harbor.systems,success,rank_54147_harbor.systems.json,,
54816,kurs.com.ua,https://kurs.com.ua,success,rank_54816_kurs.com.ua.json,,
54967,outlook.de,https://outlook.de,success,rank_54967_outlook.de.json,,
55022,jobbkk.com,https://jobbkk.com,success,rank_55022_jobbkk.com.json,,
55960,corriereadriatico.it,https://corriereadriatico.it,success,rank_55960_corriereadriatico.it.json,,
56243,livehwc3.cn,https://livehwc3.cn,success,rank_56243_livehwc3.cn.json,,
56419,osse.io,https://osse.io,success,rank_56419_osse.io.json,,
56480,rkeeper.ru,https://rkeeper.ru,success,rank_56480_rkeeper.ru.json,,
56483,aelwynvel.com,https://aelwynvel.com,success,rank_56483_aelwynvel.com.json,,
56528,openbank.es,https://openbank.es,success,rank_56528_openbank.es.json,,
56747,contanuity.com,https://contanuity.com,success,rank_56747_contanuity.com.json,,
57471,flyingmag.com,https://flyingmag.com,success,rank_57471_flyingmag.com.json,,
57776,swamp.net.au,https://swamp.net.au,success,rank_57776_swamp.net.au.json,,
57809,cloudwards.net,https://cloudwards.net,success,rank_57809_cloudwards.net.json,,
58186,gps.ie,https://gps.ie,success,rank_58186_gps.ie.json,,
58256,metromadrid.es,https://metromadrid.es,success,rank_58256_metromadrid.es.json,,
58571,ucpa.com,https://ucpa.com,success,rank_58571_ucpa.com.json,,
58708,leiphone.com,https://leiphone.com,success,rank_58708_leiphone.com.json,,
58737,onf.fr,https://onf.fr,success,rank_58737_onf.fr.json,,
58985,map24.com,https://map24.com,success,rank_58985_map24.com.json,,
59078,gamsgo.com,https://gamsgo.com,success,rank_59078_gamsgo.com.json,,
59235,san.psi.br,https://san.psi.br,success,rank_59235_san.psi.br.json,,
59413,grandforksherald.com,https://grandforksherald.com,success,rank_59413_grandforksherald.com.json,,
59568,exisport.com,https://exisport.com,success,rank_59568_exisport.com.json,,
59897,toonippo.co.jp,https://toonippo.co.jp,success,rank_59897_toonippo.co.jp.json,,
60195,anibis.ch,https://anibis.ch,success,rank_60195_anibis.ch.json,,
60422,namitraco.top,https://namitraco.top,success,rank_60422_namitraco.top.json,,
60713,lithiumdns.net,https://lithiumdns.net,success,rank_60713_lithiumdns.net.json,,
61252,samlib.ru,https://samlib.ru,success,rank_61252_samlib.ru.json,,
61476,studyfinds.com,https://studyfinds.com,success,rank_61476_studyfinds.com.json,,
61640,readcomicsonline.ru,https://readcomicsonline.ru,success,rank_61640_readcomicsonline.ru.json,,
61688,rochendns.com,https://rochendns.com,success,rank_61688_rochendns.com.json,,
61951,hocmai.vn,https://hocmai.vn,success,rank_61951_hocmai.vn.json,,
61955,hazipatika.com,https://hazipatika.com,success,rank_61955_hazipatika.com.json,,
62315,thaipost.net,https://thaipost.net,success,rank_62315_thaipost.net.json,,
62352,empa.ch,https://empa.ch,success,rank_62352_empa.ch.json,,
62756,nfu.edu.tw,https://nfu.edu.tw,success,rank_62756_nfu.edu.tw.json,,
62892,iqm2.com,https://iqm2.com,success,rank_62892_iqm2.com.json,,
62937,dxc.technology,https://dxc.technology,success,rank_62937_dxc.technology.json,,
62988,taboodude.com,https://taboodude.com,success,rank_62988_taboodude.com.json,,
63002,i-teka.kz,https://i-teka.kz,success,rank_63002_i-teka.kz.json,,
63074,aramisauto.com,https://aramisauto.com,success,rank_63074_aramisauto.com.json,,
63214,fideworldchampionship.com,https://fideworldchampionship.com,success,rank_63214_fideworldchampionship.com.json,,
63370,hypergames.top,https://hypergames.top,success,rank_63370_hypergames.top.json,,
63486,lamoda.pl,https://lamoda.pl,success,rank_63486_lamoda.pl.json,,
63582,spintoband.com,https://spintoband.com,success,rank_63582_spintoband.com.json,,
63915,abiyefon.com,https://abiyefon.com,success,rank_63915_abiyefon.com.json,,
64066,lululemon.com.au,https://lululemon.com.au,success,rank_64066_lululemon.com.au.json,,
64175,norma24.de,https://norma24.de,success,rank_64175_norma24.de.json,,
64232,bluezones.com,https://bluezones.com,success,rank_64232_bluezones.com.json,,
64294,this-dns.net,https://this-dns.net,success,rank_64294_this-dns.net.json,,
64381,bonial.fr,https://bonial.fr,success,rank_64381_bonial.fr.json,,
64557,talashnet.com,https://talashnet.com,success,rank_64557_talashnet.com.json,,
64879,casehug.com,https://casehug.com,success,rank_64879_casehug.com.json,,
64907,3xxx.pro,https://3xxx.pro,success,rank_64907_3xxx.pro.json,,
64929,blablacar.com.ua,https://blablacar.com.ua,success,rank_64929_blablacar.com.ua.json,,
65667,teleperformance.com,https://teleperformance.com,success,rank_65667_teleperformance.com.json,,
65687,richyfishcasino.com,https://richyfishcasino.com,success,rank_65687_richyfishcasino.com.json,,
65722,kipa.co.il,https://kipa.co.il,success,rank_65722_kipa.co.il.json,,
